cost_id,date_key,stage_id,payroll_hours,material_cost,utility_cost
1,20240220,1,8.3,398.69,109.13
2,20241217,4,6.8,190.97,72.9
3,20250120,1,9.6,355.11,111.3
4,20240612,6,6.5,259.92,101.87
5,20240926,3,8.6,243.77,78.85
6,20240912,3,8.5,275.85,81.34
7,20240602,7,5.7,181.44,89.33
8,20240712,1,9.7,400.22,121.49
9,20250129,3,7.6,278.1,86.19
10,20240719,6,8.4,290.81,82.68
11,20240219,6,8.7,231.05,67.86
12,20250115,1,8.1,347.2,90.77
13,20241122,3,8.7,295.53,73.9
14,20250222,7,7.0,205.18,52.47
15,20240805,2,8.3,303.51,84.55
16,20250216,6,8.8,244.54,69.06
17,20240207,1,9.4,375.13,123.82
18,20241015,1,8.8,350.38,108.36
19,20241126,2,8.5,337.82,80.05
20,20240813,3,9.5,267.54,86.07
21,20250124,3,9.1,289.62,96.99
22,20240525,5,10.3,492.42,153.7
23,20240607,2,7.5,314.03,110.29
24,20241130,6,7.2,224.96,76.47
25,20240809,2,6.4,278.71,100.2
26,20240822,4,6.7,234.09,76.57
27,20241128,3,8.2,287.66,110.18
28,20240512,7,7.6,209.53,95.49
29,20240730,1,9.3,342.03,106.94
30,20241022,2,6.4,263.98,90.99
31,20250306,7,7.8,203.63,63.22
32,20241114,4,6.1,193.79,71.76
33,20241203,3,7.5,315.27,85.1
34,20240212,1,8.0,383.42,95.74
35,20240102,4,5.6,227.69,70.79
36,20241127,2,7.8,319.54,95.97
37,20250207,1,9.0,292.94,109.81
38,20250103,7,5.3,231.31,59.76
39,20240906,7,7.5,138.27,80.57
40,20240830,1,8.1,383.13,121.74
41,20241006,5,10.1,458.67,126.48
42,20240313,4,7.2,184.82,79.84
43,20241231,1,9.5,313.16,118.74
44,20240611,2,7.7,296.95,102.83
45,20240701,1,9.1,368.05,126.23
46,20250311,5,9.7,472.0,144.34
47,20240214,5,10.1,539.63,105.96
48,20241029,7,7.1,168.06,73.98
49,20241214,7,5.4,217.07,57.24
50,20250113,1,8.3,332.14,127.47
51,20240220,3,8.0,286.39,69.3
52,20250107,1,8.9,406.49,105.19
53,20250111,5,8.7,515.8,117.81
54,20241011,5,9.1,510.63,128.7
55,20250327,7,6.5,236.01,79.04
56,20241225,2,7.9,269.23,70.59
57,20240626,2,6.1,269.38,115.04
58,20240502,3,8.3,211.55,105.05
59,20240905,2,6.5,368.02,100.21
60,20240114,6,8.4,242.93,73.29
61,20240604,6,7.2,289.16,97.96
62,20240227,1,8.6,330.94,105.55
63,20240202,1,9.3,361.58,105.37
64,20241225,6,7.4,259.19,65.16
65,20240312,5,10.7,519.55,128.87
66,20240220,7,7.6,184.51,72.1
67,20250119,1,9.5,357.28,121.1
68,20241119,5,10.8,436.1,117.22
69,20240129,1,9.5,320.72,98.5
70,20241017,1,9.9,348.05,139.84
71,20250205,1,8.2,310.14,114.64
72,20240411,1,8.0,344.94,155.91
73,20240506,2,6.4,265.86,118.64
74,20250303,2,7.3,239.45,86.01
75,20241106,5,10.6,468.14,140.03
76,20250104,4,7.0,220.53,60.22
77,20240612,1,9.7,370.12,145.73
78,20241225,5,8.3,429.6,121.1
79,20240507,7,5.1,205.79,74.78
80,20240526,5,9.6,519.74,162.5
81,20240625,7,6.8,198.62,84.29
82,20240503,1,8.5,294.67,146.18
83,20241003,1,10.0,320.04,118.23
84,20240903,6,7.8,224.73,75.27
85,20240629,7,6.2,209.92,98.12
86,20240502,5,8.9,533.69,149.56
87,20240320,5,9.2,475.9,135.84
88,20240310,2,7.3,326.86,95.38
89,20241211,2,6.1,313.11,81.08
90,20240101,1,9.2,297.26,103.75
91,20240322,7,6.1,224.42,64.47
92,20240822,6,7.8,196.01,72.29
93,20240913,5,10.2,466.75,130.83
94,20240127,1,9.5,353.7,115.35
95,20240526,3,7.0,270.28,108.26
96,20240330,6,6.2,222.66,90.47
97,20250114,7,7.4,179.04,55.46
98,20241103,1,9.1,302.37,122.11
99,20240725,6,6.4,239.22,86.9
100,20240716,1,8.6,355.33,127.94
101,20240303,5,9.8,541.48,120.83
102,20241216,5,8.7,505.8,124.64
103,20240813,7,6.5,212.55,71.26
104,20240909,6,9.0,277.85,52.18
105,20240828,2,8.1,265.24,83.75
106,20241231,7,5.6,205.96,68.62
107,20250112,4,6.2,190.94,66.6
108,20241118,1,8.3,337.05,111.53
109,20240822,2,8.1,255.03,99.42
110,20241205,7,7.2,164.97,57.57
111,20240509,3,9.8,271.29,113.51
112,20240206,1,8.8,363.17,101.47
113,20240629,6,7.1,268.31,93.23
114,20240719,6,7.5,249.56,87.76
115,20240812,7,7.2,202.03,70.03
116,20240208,4,7.8,191.71,79.77
117,20240502,6,8.0,218.01,104.53
118,20250118,3,7.6,291.15,66.8
119,20240607,1,9.7,284.31,154.74
120,20240119,5,9.0,504.41,122.35
121,20241024,4,5.8,209.99,81.24
122,20240627,6,8.2,233.51,88.11
123,20240502,5,9.2,478.89,177.87
124,20250327,6,6.9,269.34,87.05
125,20250101,3,8.5,324.42,78.16
126,20240203,2,7.6,257.58,74.9
127,20250111,5,9.3,498.21,128.4
128,20250313,4,6.8,213.62,83.05
129,20241109,5,9.9,393.68,120.87
130,20240927,2,8.9,247.38,94.72
131,20240129,1,8.6,368.07,119.32
132,20240703,6,7.1,254.73,66.24
133,20240829,2,6.0,312.45,84.06
134,20240513,3,9.1,275.68,100.3
135,20240215,1,8.0,351.6,122.89
136,20241226,5,10.9,495.81,114.99
137,20240311,5,10.9,410.77,153.6
138,20240127,6,7.9,220.88,71.02
139,20240804,7,5.2,201.45,67.95
140,20240508,2,6.3,278.53,119.63
141,20240313,1,8.7,332.64,130.82
142,20240529,2,7.4,260.48,108.43
143,20240529,1,9.3,353.97,145.42
144,20250312,2,6.6,331.58,88.05
145,20240503,6,8.9,267.46,82.47
146,20250325,4,6.8,202.99,81.95
147,20240716,4,5.3,212.1,73.08
148,20250103,1,8.6,362.97,113.5
149,20241214,6,8.1,290.63,71.96
150,20250324,1,8.6,362.01,134.23
151,20241106,2,6.6,267.17,94.26
152,20240727,4,6.4,250.36,73.27
153,20240420,2,8.6,284.04,127.86
154,20240811,5,9.1,465.01,132.12
155,20241026,1,8.1,358.78,126.15
156,20240206,4,6.9,270.02,76.97
157,20241020,5,8.9,375.75,130.53
158,20250327,1,8.6,276.96,118.9
159,20240105,4,5.2,224.97,78.52
160,20240829,5,8.6,475.6,129.45
161,20241005,2,8.4,299.33,92.68
162,20240706,2,6.9,283.96,95.22
163,20241024,4,6.7,230.07,86.36
164,20240727,7,5.9,182.58,65.41
165,20240407,3,7.6,297.79,104.22
166,20240531,3,7.2,302.95,101.68
167,20250301,1,9.9,327.12,128.5
168,20240829,1,9.1,288.74,130.53
169,20240828,6,8.8,191.27,71.47
170,20241030,6,6.4,237.03,73.29
171,20240501,6,8.3,215.48,85.54
172,20240918,5,10.2,526.16,122.06
173,20240817,7,7.8,234.0,73.44
174,20240713,5,10.1,428.33,125.99
175,20240825,7,7.7,200.1,99.31
176,20240928,6,6.2,200.24,88.81
177,20250216,2,6.6,275.41,76.35
178,20240720,3,7.2,293.42,100.58
179,20240227,1,8.6,348.27,104.96
180,20240810,6,7.9,285.54,60.25
181,20250121,3,8.1,277.93,87.13
182,20241224,5,8.0,421.52,114.55
183,20240419,3,8.1,268.94,103.25
184,20240122,2,9.0,323.64,84.55
185,20241116,1,9.7,303.61,123.04
186,20240607,2,6.6,308.58,107.12
187,20240917,1,8.0,267.24,117.6
188,20250109,2,8.9,332.14,80.48
189,20241020,5,9.7,519.38,128.02
190,20250207,7,7.5,205.77,42.99
191,20250324,4,7.1,229.2,103.14
192,20241208,6,7.8,257.72,67.1
193,20250115,2,6.9,327.65,86.14
194,20240304,2,7.5,296.19,106.7
195,20250327,6,7.9,228.45,60.24
196,20241012,7,5.0,187.53,72.64
197,20240714,3,8.5,301.76,79.67
198,20250107,5,8.3,514.57,116.78
199,20250125,4,6.4,230.61,60.41
