date_key,date,month,quarter,year
20240101,2024-01-01,January,Q1 2024,2024
20240102,2024-01-02,January,Q1 2024,2024
20240103,2024-01-03,January,Q1 2024,2024
20240104,2024-01-04,January,Q1 2024,2024
20240105,2024-01-05,January,Q1 2024,2024
20240106,2024-01-06,January,Q1 2024,2024
20240107,2024-01-07,January,Q1 2024,2024
20240108,2024-01-08,January,Q1 2024,2024
20240109,2024-01-09,January,Q1 2024,2024
20240110,2024-01-10,January,Q1 2024,2024
20240111,2024-01-11,January,Q1 2024,2024
20240112,2024-01-12,January,Q1 2024,2024
20240113,2024-01-13,January,Q1 2024,2024
20240114,2024-01-14,January,Q1 2024,2024
20240115,2024-01-15,January,Q1 2024,2024
20240116,2024-01-16,January,Q1 2024,2024
20240117,2024-01-17,January,Q1 2024,2024
20240118,2024-01-18,January,Q1 2024,2024
20240119,2024-01-19,January,Q1 2024,2024
20240120,2024-01-20,January,Q1 2024,2024
20240121,2024-01-21,January,Q1 2024,2024
20240122,2024-01-22,January,Q1 2024,2024
20240123,2024-01-23,January,Q1 2024,2024
20240124,2024-01-24,January,Q1 2024,2024
20240125,2024-01-25,January,Q1 2024,2024
20240126,2024-01-26,January,Q1 2024,2024
20240127,2024-01-27,January,Q1 2024,2024
20240128,2024-01-28,January,Q1 2024,2024
20240129,2024-01-29,January,Q1 2024,2024
20240130,2024-01-30,January,Q1 2024,2024
20240131,2024-01-31,January,Q1 2024,2024
20240201,2024-02-01,February,Q1 2024,2024
20240202,2024-02-02,February,Q1 2024,2024
20240203,2024-02-03,February,Q1 2024,2024
20240204,2024-02-04,February,Q1 2024,2024
20240205,2024-02-05,February,Q1 2024,2024
20240206,2024-02-06,February,Q1 2024,2024
20240207,2024-02-07,February,Q1 2024,2024
20240208,2024-02-08,February,Q1 2024,2024
20240209,2024-02-09,February,Q1 2024,2024
20240210,2024-02-10,February,Q1 2024,2024
20240211,2024-02-11,February,Q1 2024,2024
20240212,2024-02-12,February,Q1 2024,2024
20240213,2024-02-13,February,Q1 2024,2024
20240214,2024-02-14,February,Q1 2024,2024
20240215,2024-02-15,February,Q1 2024,2024
20240216,2024-02-16,February,Q1 2024,2024
20240217,2024-02-17,February,Q1 2024,2024
20240218,2024-02-18,February,Q1 2024,2024
20240219,2024-02-19,February,Q1 2024,2024
20240220,2024-02-20,February,Q1 2024,2024
20240221,2024-02-21,February,Q1 2024,2024
20240222,2024-02-22,February,Q1 2024,2024
20240223,2024-02-23,February,Q1 2024,2024
20240224,2024-02-24,February,Q1 2024,2024
