log_id,date_key,machine_id,shift_id,stage_id,units_produced,scrap_count
1,20240412,15,1,5,537,1
2,20250311,13,1,4,468,5
3,20241214,16,3,5,484,2
4,20240927,11,3,4,515,5
5,20240416,2,2,1,470,7
6,20240312,6,2,3,484,6
7,20240707,6,1,3,581,7
8,20240121,14,2,4,461,3
9,20240412,11,3,4,431,4
10,20240501,8,2,3,543,6
11,20240802,8,1,3,532,5
12,20241126,1,2,1,497,10
13,20240328,7,3,3,441,11
14,20250107,6,1,3,423,9
15,20240409,8,2,3,480,3
16,20241225,19,3,7,503,2
17,20240531,8,1,3,516,5
18,20240510,14,1,4,448,4
19,20240529,18,3,6,523,3
20,20241104,16,2,5,413,3
21,20240914,9,2,3,540,3
22,20241209,15,2,5,496,2
23,20250217,10,1,4,424,4
24,20241020,16,1,5,427,2
25,20250120,4,2,2,546,5
26,20240710,13,1,4,480,9
27,20250319,5,1,2,320,5
28,20241003,7,3,3,448,5
29,20240609,9,2,3,462,9
30,20241109,8,2,3,520,4
31,20240122,16,2,5,448,2
32,20240909,6,1,3,593,3
33,20240823,16,1,5,489,4
34,20241210,6,1,3,462,4
35,20240218,14,2,4,464,6
36,20240228,1,1,1,487,10
37,20240618,9,2,3,492,6
38,20240706,13,1,4,377,4
39,20240927,19,2,7,503,4
40,20240708,17,3,6,572,1
41,20250321,11,1,4,516,3
42,20240623,8,2,3,533,8
43,20250321,5,3,2,355,8
44,20240220,10,3,4,371,5
45,20241229,7,1,3,378,3
46,20240224,10,2,4,360,4
47,20240831,4,1,2,566,2
48,20241115,9,3,3,505,7
49,20240510,14,1,4,449,5
50,20241102,2,2,1,409,8
51,20240514,9,3,3,477,8
52,20240121,1,1,1,516,8
53,20241124,10,1,4,376,6
54,20240615,10,1,4,459,3
55,20240930,3,1,1,491,11
56,20250122,6,1,3,551,6
57,20240329,6,3,3,436,4
58,20241111,2,3,1,447,11
59,20240114,18,2,6,581,3
60,20240829,2,1,1,534,3
61,20240921,12,2,4,523,3
62,20241211,5,3,2,351,6
63,20240222,7,1,3,399,2
64,20250120,16,2,5,422,4
65,20241205,1,1,1,558,8
66,20240401,1,1,1,577,9
67,20250101,17,2,6,589,2
68,20250319,1,3,1,528,6
69,20250330,13,2,4,478,3
70,20250303,9,2,3,460,5
71,20240920,15,2,5,517,4
72,20250306,3,1,1,516,4
73,20240204,14,3,4,397,5
74,20240724,11,3,4,516,6
75,20240321,12,1,4,471,8
76,20250223,13,3,4,482,7
77,20240219,13,2,4,465,4
78,20241225,1,3,1,482,5
79,20250122,10,1,4,425,1
80,20240102,3,3,1,309,6
81,20250124,4,1,2,573,9
82,20240223,16,2,5,491,2
83,20240415,8,1,3,586,6
84,20240916,16,3,5,432,1
85,20241105,17,2,6,571,3
86,20240709,19,3,7,505,3
87,20250205,15,1,5,552,2
88,20240805,16,2,5,489,3
89,20240213,15,1,5,501,1
90,20240610,2,3,1,480,7
91,20240720,11,1,4,489,7
92,20250321,1,3,1,526,11
93,20240926,15,3,5,459,0
94,20241216,19,2,7,533,4
95,20241030,4,2,2,550,11
96,20240927,11,1,4,423,4
97,20250331,5,3,2,380,10
98,20240802,3,3,1,422,6
99,20240908,13,2,4,461,6
100,20240708,10,2,4,392,6
101,20241022,11,2,4,411,3
102,20240731,18,2,6,560,1
103,20240726,2,1,1,481,5
104,20240824,7,1,3,415,7
105,20241203,9,1,3,493,6
106,20250101,10,1,4,446,10
107,20240222,18,2,6,625,4
108,20241006,7,1,3,469,3
109,20250213,7,1,3,474,9
110,20240804,3,1,1,436,7
111,20240908,12,2,4,476,1
112,20240706,7,3,3,426,3
113,20250114,17,2,6,593,1
114,20240210,1,3,1,579,8
115,20240605,5,3,2,351,12
116,20240115,16,1,5,503,2
117,20241027,15,1,5,518,3
118,20240305,2,1,1,448,8
119,20241210,9,2,3,528,9
120,20241122,7,2,3,487,5
121,20240109,4,1,2,603,10
122,20241209,18,2,6,546,5
123,20240508,4,2,2,604,8
124,20240515,13,3,4,371,5
125,20240303,1,2,1,534,6
126,20240518,3,3,1,518,6
127,20240321,16,1,5,446,1
128,20250126,4,2,2,545,3
129,20240611,16,3,5,460,5
130,20250222,19,2,7,528,2
131,20241015,1,3,1,438,9
