log_id,date_key,stage_id,rework_reason,man_hours_lost,parts_cost_lost
1,20240914,7,Supplier defect,13.9,2786.94
2,20240624,1,Tooling wear,14.7,2587.73
3,20240502,7,Operator error,6.9,1916.9
4,20250307,5,Material defect,14.4,3377.52
5,20240309,6,Quality rejection,7.6,1294.38
6,20240401,7,Power fluctuation,8.4,2768.3
7,20240810,4,Equipment failure,29.5,3459.37
8,20240820,7,Machine calibration,9.6,2243.35
9,20241224,5,Operator error,8.9,2075.57
10,20240124,5,Tooling wear,13.6,2508.95
11,20241101,4,Machine calibration,5.5,1365.01
12,20240629,2,Design mismatch,11.8,2591.1
13,20250317,4,Tooling wear,12.4,2767.54
14,20240410,5,Machine calibration,9.8,1820.13
15,20241027,7,Supplier defect,20.0,3378.22
16,20250211,5,Design mismatch,15.5,2291.89
17,20240206,2,Machine calibration,10.9,1816.01
18,20240827,4,Process deviation,10.7,1727.79
19,20240825,3,Equipment failure,18.9,3513.11
20,20250213,6,Tooling wear,15.4,2516.48
21,20240527,2,Power fluctuation,15.9,2291.95
22,20250131,3,Process deviation,6.1,2079.36
23,20240528,4,Material defect,19.5,3011.69
24,20240809,2,Machine calibration,7.2,2653.24
25,20240418,1,Quality rejection,7.4,1664.32
26,20240308,4,Material defect,12.6,3380.84
27,20240920,4,Tooling wear,11.7,2333.03
28,20240801,7,Machine calibration,10.7,1096.35
29,20240828,2,Power fluctuation,13.6,2548.01
30,20240703,4,Process deviation,7.9,1950.28
31,20240422,4,Power fluctuation,15.4,2014.84
32,20241221,6,Quality rejection,7.3,1257.32
33,20250220,5,Design mismatch,8.6,2643.14
34,20241129,5,Quality rejection,5.9,1520.13
35,20240805,6,Design mismatch,18.3,2953.55
36,20241126,3,Process deviation,8.4,1605.01
37,20240717,4,Power fluctuation,14.3,2624.33
38,20240315,1,Process deviation,8.3,1889.84
39,20240103,4,Equipment failure,22.2,3541.08
40,20241203,7,Supplier defect,16.5,3029.11
41,20250327,4,Supplier defect,24.8,2898.59
42,20250128,6,Tooling wear,10.2,2648.66
43,20240810,1,Machine calibration,10.0,1954.93
44,20240924,7,Operator error,10.5,1707.39
45,20250110,2,Tooling wear,11.4,2230.08
46,20240221,7,Operator error,6.4,1390.66
47,20240907,2,Tooling wear,10.8,2226.81
48,20240203,5,Material defect,12.0,3686.1
49,20240528,2,Process deviation,10.7,1510.33
50,20240523,4,Operator error,10.1,1418.15
51,20241010,1,Material defect,8.8,2568.14
52,20241113,7,Operator error,9.9,1957.27
53,20240129,7,Operator error,7.0,1791.37
54,20240613,4,Equipment failure,18.6,5828.83
55,20250329,7,Supplier defect,6.9,3938.23
56,20240228,3,Process deviation,9.8,2412.62
57,20240127,1,Tooling wear,14.3,1675.92
58,20241205,6,Quality rejection,6.3,1523.31
59,20240122,2,Machine calibration,8.2,1944.05
60,20250120,6,Design mismatch,12.7,2546.96
61,20250205,5,Quality rejection,6.6,1382.4
62,20240507,6,Power fluctuation,13.4,1940.22
63,20240506,3,Process deviation,8.7,2035.24
64,20240731,6,Equipment failure,23.4,2773.78
65,20240918,4,Power fluctuation,8.5,1951.59
66,20241005,4,Power fluctuation,9.2,2117.47
67,20240407,4,Machine calibration,7.4,1117.49
68,20240926,6,Tooling wear,9.2,2757.02
69,20240705,3,Operator error,8.0,1461.07
70,20240714,3,Material defect,15.5,3242.26
71,20240818,6,Operator error,13.2,1825.79
72,20240908,7,Quality rejection,6.6,1627.29
73,20241003,7,Equipment failure,25.1,3881.28
74,20240729,1,Material defect,18.6,3933.32
75,20240601,4,Supplier defect,15.7,2763.2
76,20240905,5,Operator error,9.5,1542.64
77,20240828,2,Equipment failure,21.4,4664.82
78,20240507,3,Design mismatch,19.1,2597.28
79,20240209,7,Operator error,7.3,1710.93
80,20240323,2,Machine calibration,6.7,1853.31
81,20250321,1,Design mismatch,16.6,2835.13
82,20241128,5,Material defect,19.2,2890.42
83,20240122,3,Process deviation,11.7,1817.68
84,20240604,6,Quality rejection,6.7,1625.45
85,20240109,1,Material defect,9.7,2912.37
86,20240929,2,Machine calibration,10.8,2168.83
87,20240610,1,Quality rejection,2.4,1199.13
88,20240917,5,Design mismatch,13.7,2750.77
89,20250125,4,Tooling wear,13.8,2261.72
90,20241013,2,Tooling wear,8.9,2617.97
91,20240414,4,Machine calibration,7.3,1817.73
92,20240427,1,Process deviation,7.4,1645.38
93,20240808,6,Quality rejection,3.5,1290.59
94,20240311,5,Operator error,9.8,1535.42
95,20250331,4,Tooling wear,5.1,1803.07
96,20241101,4,Operator error,5.8,1525.67
97,20240610,5,Quality rejection,3.6,1515.32
98,20241224,2,Design mismatch,19.5,3347.25
99,20240727,1,Quality rejection,8.2,1624.22
100,20240504,6,Quality rejection,9.7,1544.24
101,20240916,4,Tooling wear,8.3,2913.39
102,20240215,1,Supplier defect,18.5,3272.37
103,20241006,3,Process deviation,9.9,1685.33
104,20240227,3,Design mismatch,12.3,3712.84
105,20240607,7,Operator error,4.2,1547.98
106,20240924,7,Supplier defect,12.5,2980.36
107,20250316,4,Machine calibration,6.6,1939.4
108,20241209,2,Material defect,18.2,3511.29
109,20250311,3,Design mismatch,14.6,2652.11
110,20240228,2,Quality rejection,5.3,1403.37
111,20241124,5,Quality rejection,8.4,1313.14
112,20240105,3,Material defect,12.1,4133.83
113,20240406,2,Design mismatch,10.5,3244.19
114,20250220,3,Machine calibration,7.3,1773.79
115,20240827,7,Quality rejection,8.9,1463.42
116,20240224,4,Equipment failure,17.9,5340.23
117,20240621,6,Design mismatch,9.9,3069.74
118,20241206,1,Process deviation,11.5,1812.37
119,20240715,4,Process deviation,9.2,1872.78
120,20250125,2,Machine calibration,6.3,1758.98
121,20240718,6,Quality rejection,9.3,1197.24
122,20250116,3,Design mismatch,12.6,2166.93
123,20241018,5,Power fluctuation,8.8,2440.81
124,20240926,5,Design mismatch,9.2,1910.12
125,20240511,1,Tooling wear,14.9,2401.14
126,20250211,7,Operator error,5.7,1755.89
127,20240205,4,Tooling wear,8.7,2312.06
128,20241112,2,Equipment failure,14.9,2625.61
129,20240515,6,Quality rejection,9.1,1217.33
130,20241219,5,Equipment failure,28.5,4185.31
131,20240202,4,Material defect,12.9,2542.44
132,20240302,4,Tooling wear,12.1,2599.59
133,20250210,6,Quality rejection,8.9,1548.68
134,20240523,5,Quality rejection,6.5,1532.49
135,20240730,7,Machine calibration,9.0,2525.39
136,20240930,5,Design mismatch,12.8,3068.21
137,20240409,5,Tooling wear,5.3,2596.27
138,20240617,7,Power fluctuation,12.2,2973.79
139,20240120,4,Power fluctuation,9.7,2854.21
140,20240724,4,Machine calibration,10.1,2533.32
141,20241202,1,Operator error,8.7,1431.62
142,20240919,3,Design mismatch,19.0,2624.38
143,20240727,6,Design mismatch,12.7,2933.24
144,20240508,6,Quality rejection,7.1,1537.91
145,20250101,3,Operator error,8.5,1770.34
146,20241023,4,Machine calibration,11.4,1568.79
147,20250114,2,Design mismatch,7.1,2939.35
148,20240808,3,Supplier defect,13.5,3036.83
149,20250228,2,Machine calibration,9.3,2093.32
150,20241218,7,Operator error,7.8,1817.46
151,20250117,4,Quality rejection,5.2,1860.91
152,20240412,7,Supplier defect,21.7,3381.86
153,20241119,3,Operator error,12.1,897.58
154,20240204,6,Process deviation,11.1,1813.85
155,20240917,6,Machine calibration,13.0,1830.84
156,20240523,6,Operator error,5.7,1671.32
157,20240619,3,Operator error,7.0,1681.18
158,20250215,3,Process deviation,9.7,1289.84
159,20240914,4,Machine calibration,12.3,1007.72
160,20240813,1,Machine calibration,17.5,2091.95
161,20250106,4,Tooling wear,9.9,1745.7
162,20240521,4,Process deviation,10.2,1925.41
163,20250113,4,Machine calibration,9.8,1871.91
164,20250215,4,Equipment failure,24.0,2293.18
165,20240802,2,Power fluctuation,7.0,2434.64
166,20240629,7,Machine calibration,8.8,2255.07
167,20240710,1,Machine calibration,7.5,1964.67
168,20240304,7,Power fluctuation,9.5,2849.33
169,20240615,5,Material defect,13.4,3838.74
170,20240621,4,Machine calibration,10.7,1676.74
171,20240222,6,Quality rejection,7.8,1474.47
172,20240321,5,Process deviation,6.2,1679.79
173,20240321,2,Operator error,8.1,2043.71
174,20240521,2,Supplier defect,21.1,3298.74
175,20240615,3,Equipment failure,10.7,5097.17
176,20240503,3,Machine calibration,11.4,1447.18
177,20240126,1,Tooling wear,7.7,2117.94
178,20240811,7,Design mismatch,19.1,2361.96
179,20250315,3,Operator error,6.4,835.59
180,20240130,1,Operator error,7.6,2224.56
181,20240702,5,Supplier defect,21.2,3883.64
182,20250303,1,Process deviation,7.8,1294.99
183,20241106,6,Quality rejection,8.5,1345.62
184,20240205,5,Tooling wear,13.4,1634.17
185,20240113,1,Material defect,17.3,4393.59
186,20250301,3,Operator error,6.5,799.39
187,20240317,3,Equipment failure,27.3,1580.78
188,20240805,2,Machine calibration,13.1,1977.0
189,20240410,3,Machine calibration,16.3,1521.34
190,20250101,7,Design mismatch,15.4,1853.73
191,20250221,1,Material defect,20.9,3593.16
192,20241104,6,Design mismatch,15.5,3299.79
193,20240509,7,Operator error,5.0,1768.71
194,20241008,3,Quality rejection,10.8,1092.06
195,20240604,4,Design mismatch,17.7,3163.02
196,20240705,3,Equipment failure,15.9,4082.94
197,20241027,5,Process deviation,14.3,1957.7
198,20240305,5,Tooling wear,18.2,2321.9
199,20240629,2,Quality rejection,8.2,1324.88
200,20240428,1,Supplier defect,19.2,3027.61
201,20250312,5,Quality rejection,3.9,1268.89
202,20240717,5,Quality rejection,10.8,881.07
203,20240103,7,Equipment failure,21.1,4005.4
204,20240810,6,Material defect,15.6,2633.58
205,20240902,2,Operator error,10.3,1582.54
206,20250308,2,Machine calibration,15.5,1603.85
207,20241118,3,Operator error,9.6,1611.64
208,20250228,5,Tooling wear,10.8,1824.91
209,20240927,2,Material defect,23.6,2748.64
210,20250222,5,Quality rejection,8.1,1248.54
211,20240406,5,Material defect,19.6,2619.11
212,20241203,2,Supplier defect,25.3,2912.07
213,20240303,7,Process deviation,9.4,1835.58
214,20240522,7,Design mismatch,12.8,2339.57
215,20240102,6,Quality rejection,6.4,1458.89
216,20240319,1,Quality rejection,4.9,1199.45
217,20240622,1,Design mismatch,9.8,2810.5
218,20240707,4,Supplier defect,27.6,3694.56
219,20240901,1,Tooling wear,8.9,2387.47
220,20240124,5,Material defect,17.8,3433.55
221,20240405,5,Quality rejection,8.4,1002.65
222,20250303,6,Supplier defect,20.1,3984.67
223,20240917,6,Process deviation,7.2,2521.97
224,20240225,5,Supplier defect,8.1,4638.12
225,20240428,1,Tooling wear,10.8,2301.86
226,20240223,4,Process deviation,9.8,1243.91
227,20240531,3,Design mismatch,23.7,2914.2
228,20240624,7,Equipment failure,11.7,3858.85
229,20241004,6,Material defect,14.8,3292.3
230,20241130,5,Quality rejection,5.3,1691.32
231,20240119,4,Tooling wear,15.7,3197.11
232,20240521,2,Machine calibration,10.9,2416.84
233,20250209,1,Design mismatch,20.1,1891.79
234,20240923,6,Equipment failure,33.6,4716.03
235,20240211,3,Material defect,12.3,3091.51
236,20240610,6,Machine calibration,8.8,1568.87
237,20250312,6,Quality rejection,9.7,1909.21
238,20240423,2,Machine calibration,4.9,2630.38
239,20250119,6,Supplier defect,16.8,4005.82
240,20240911,4,Process deviation,6.9,1775.22
241,20240326,6,Design mismatch,19.0,2155.39
242,20240926,2,Design mismatch,16.3,3322.73
243,20250317,2,Design mismatch,12.3,2248.01
244,20240923,5,Quality rejection,6.6,1841.52
245,20240626,5,Material defect,17.9,3910.33
246,20240915,1,Supplier defect,6.8,3308.18
247,20250130,3,Material defect,14.2,2479.37
248,20240210,2,Material defect,12.9,3328.05
249,20250106,4,Supplier defect,13.0,3318.54
250,20241121,7,Operator error,9.8,1415.89
251,20240513,2,Machine calibration,12.4,1903.93
252,20240730,2,Supplier defect,13.1,4559.64
253,20250202,6,Machine calibration,10.3,1037.79
254,20241205,1,Operator error,3.8,1356.09
255,20240111,6,Quality rejection,6.1,1465.79
256,20250128,5,Quality rejection,7.2,1158.75
257,20240403,5,Tooling wear,11.7,2243.81
258,20240216,1,Machine calibration,8.5,1785.64
259,20250327,5,Material defect,26.7,2452.45
260,20241004,2,Equipment failure,13.8,3903.48
261,20240827,5,Quality rejection,9.8,1365.04
262,20241010,6,Quality rejection,7.4,1904.72
263,20240827,1,Material defect,16.2,2580.26
264,20250210,1,Tooling wear,15.9,2407.79
265,20240202,6,Quality rejection,6.3,1132.83
266,20250126,2,Supplier defect,17.3,2939.48
267,20240830,5,Process deviation,8.8,1702.63
268,20240320,7,Quality rejection,9.2,1039.47
269,20240831,2,Process deviation,7.2,1990.5
270,20240427,4,Tooling wear,10.3,2058.15
271,20240316,6,Quality rejection,7.1,1300.64
272,20250104,7,Operator error,5.1,916.97
273,20240506,1,Process deviation,11.8,1997.92
274,20250223,3,Quality rejection,10.1,994.91
275,20240306,6,Machine calibration,15.2,1952.72
276,20241013,7,Material defect,7.6,3636.02
277,20240605,3,Machine calibration,8.2,2515.48
278,20240512,1,Design mismatch,9.9,3292.03
279,20240715,3,Material defect,8.6,3026.15
280,20241005,2,Process deviation,10.6,2216.63
281,20240613,4,Supplier defect,5.4,3855.05
282,20240313,5,Material defect,18.8,2850.77
283,20241020,4,Process deviation,8.0,1030.42
284,20240629,7,Operator error,8.4,1542.51
285,20240317,6,Process deviation,7.6,1633.17
286,20240205,6,Quality rejection,5.1,1481.82
287,20241114,3,Equipment failure,20.3,4406.63
288,20240716,6,Machine calibration,10.2,2258.16
289,20241101,3,Operator error,10.7,1296.29
290,20240831,5,Material defect,11.0,2987.5
291,20240708,3,Tooling wear,9.8,2933.32
292,20241113,5,Power fluctuation,11.4,1894.24
293,20250216,3,Process deviation,9.2,1761.31
294,20250211,5,Material defect,16.0,3157.21
295,20240205,2,Supplier defect,17.2,4258.96
296,20241222,5,Process deviation,7.3,1701.1
297,20240517,1,Material defect,18.0,3521.32
298,20241206,4,Tooling wear,8.5,2027.29
299,20250125,7,Machine calibration,6.6,1888.5
300,20250225,7,Equipment failure,25.2,4535.22
301,20240218,4,Equipment failure,19.1,2770.94
302,20250123,1,Design mismatch,17.9,2572.52
303,20240625,2,Power fluctuation,10.0,2048.95
304,20250309,2,Design mismatch,8.8,3551.2
305,20241029,3,Machine calibration,14.3,1933.88
306,20240421,2,Tooling wear,7.3,2821.07
307,20240109,3,Operator error,9.2,1547.27
308,20240331,6,Quality rejection,12.2,1635.46
309,20240915,6,Quality rejection,5.1,975.48
310,20240920,3,Equipment failure,17.5,5758.76
311,20240704,5,Quality rejection,6.3,1379.57
312,20240120,3,Material defect,10.4,2904.76
313,20240720,2,Machine calibration,9.8,2061.57
314,20240523,2,Tooling wear,11.5,2322.76
315,20240112,3,Power fluctuation,8.8,2487.9
316,20250120,6,Quality rejection,9.2,1741.91
317,20240223,5,Operator error,5.8,1160.45
318,20240819,1,Process deviation,8.9,2098.13
319,20240504,3,Machine calibration,10.0,1805.62
320,20240415,6,Quality rejection,8.1,2035.28
321,20250117,5,Quality rejection,4.4,1734.5
322,20240713,4,Quality rejection,6.2,1229.28
323,20241007,7,Equipment failure,24.9,3894.87
324,20240905,2,Power fluctuation,7.1,2190.58
325,20250127,1,Tooling wear,12.4,2384.02
326,20250305,1,Supplier defect,17.4,3322.48
327,20240131,1,Material defect,18.7,3359.9
328,20240528,4,Equipment failure,10.1,2683.38
329,20240311,2,Power fluctuation,15.7,2532.65
330,20241025,7,Equipment failure,21.6,3697.48
331,20240730,1,Supplier defect,18.9,4296.68
332,20250224,2,Machine calibration,10.5,2228.97
333,20241012,2,Supplier defect,26.5,2739.26
334,20240216,4,Machine calibration,9.4,2372.43
335,20240412,6,Quality rejection,5.2,1355.88
336,20250221,4,Equipment failure,9.4,5697.21
337,20240916,6,Operator error,7.2,1566.46
338,20240402,4,Power fluctuation,9.2,2254.85
339,20240918,4,Design mismatch,14.5,1888.03
340,20250110,4,Material defect,8.1,3833.51
341,20241022,3,Power fluctuation,14.0,2480.92
342,20240119,6,Operator error,4.7,1922.23
343,20250103,3,Tooling wear,7.8,2235.53
344,20240110,5,Machine calibration,7.9,3033.12
345,20241016,2,Machine calibration,10.2,1980.36
346,20240820,6,Quality rejection,7.6,1561.08
347,20240116,5,Quality rejection,5.2,1726.75
348,20240307,2,Machine calibration,9.4,1152.02
349,20240801,2,Process deviation,7.2,2428.17
350,20250203,1,Material defect,17.6,2962.24
351,20240131,2,Quality rejection,8.6,1040.47
352,20240727,4,Design mismatch,17.0,3530.28
353,20240903,6,Quality rejection,5.5,1560.24
354,20241222,4,Machine calibration,12.8,1269.35
355,20240123,6,Quality rejection,5.0,1339.02
356,20241020,1,Tooling wear,14.0,2518.04
357,20240908,3,Quality rejection,7.1,1396.34
358,20241212,3,Material defect,12.0,2236.84
359,20240715,3,Machine calibration,10.3,1921.56
360,20240601,6,Design mismatch,13.9,2673.41
361,20240315,4,Supplier defect,20.0,2705.03
362,20240424,1,Material defect,16.2,2336.51
363,20240313,6,Power fluctuation,11.7,2331.68
364,20250328,3,Design mismatch,9.9,3331.15
365,20241103,4,Operator error,9.4,1453.7
366,20240328,3,Process deviation,8.0,1766.1
367,20240902,1,Machine calibration,7.3,1836.59
368,20240726,5,Supplier defect,22.3,4453.71
369,20240306,4,Tooling wear,16.7,2685.05
370,20240712,5,Quality rejection,7.1,1273.84
371,20240324,7,Process deviation,7.5,1744.7
372,20241119,6,Quality rejection,8.2,1395.39
373,20241016,4,Supplier defect,15.2,5045.89
374,20241123,1,Process deviation,6.1,1964.96
375,20240712,6,Design mismatch,6.9,2604.99
376,20240927,2,Tooling wear,9.2,2346.5
377,20241227,6,Equipment failure,19.3,3241.71
378,20241123,7,Operator error,6.4,1325.35
379,20241209,7,Operator error,12.7,1207.85
380,20250116,3,Equipment failure,22.5,2408.68
381,20240710,7,Power fluctuation,10.3,2701.37
382,20240824,1,Material defect,19.6,3172.94
383,20240202,1,Material defect,17.7,3161.53
384,20240808,2,Material defect,14.9,2393.74
385,20250118,1,Material defect,10.2,3081.38
386,20240101,2,Machine calibration,12.9,2367.35
387,20240330,5,Machine calibration,7.1,2012.81
388,20240624,6,Design mismatch,19.6,3194.5
389,20240308,1,Equipment failure,20.7,3467.75
390,20240509,1,Process deviation,9.6,2076.68
391,20250123,2,Equipment failure,19.0,4352.49
392,20240310,7,Supplier defect,12.7,3989.44
393,20240703,6,Design mismatch,13.6,2449.03
394,20250109,4,Design mismatch,17.6,3421.08
395,20240810,5,Tooling wear,6.4,2229.16
396,20240127,2,Machine calibration,8.5,1929.56
397,20241031,5,Operator error,9.1,1126.8
398,20241014,3,Process deviation,11.0,1562.04
399,20240810,2,Process deviation,7.4,1938.52
400,20240929,3,Design mismatch,18.7,3002.12
401,20241018,5,Operator error,8.1,1375.34
402,20240117,7,Operator error,7.9,1443.68
403,20241113,6,Process deviation,6.1,1844.27
404,20240426,2,Equipment failure,26.0,3871.61
405,20240822,5,Power fluctuation,16.2,2026.54
406,20240907,6,Material defect,11.4,4599.03
407,20240927,6,Machine calibration,10.2,1903.65
408,20241218,6,Process deviation,9.2,1833.42
409,20250201,1,Process deviation,7.9,1818.23
410,20241211,7,Operator error,6.9,1213.99
411,20240507,7,Equipment failure,16.2,3329.23
412,20240901,4,Power fluctuation,10.6,1935.13
413,20240910,2,Process deviation,12.5,1871.91
414,20250320,6,Operator error,3.8,1186.85
415,20240306,4,Machine calibration,10.1,2202.3
416,20240604,2,Tooling wear,13.0,2592.39
417,20241127,5,Material defect,12.0,4408.79
418,20240229,2,Operator error,6.6,1859.52
419,20240904,4,Power fluctuation,6.5,1602.25
420,20240106,3,Tooling wear,13.2,2681.78
421,20240819,1,Material defect,11.5,3856.34
422,20250301,4,Process deviation,9.8,1868.79
423,20240511,5,Machine calibration,10.9,2060.37
424,20240722,2,Process deviation,6.9,2322.8
425,20240921,3,Design mismatch,16.8,2738.26
426,20250205,6,Operator error,10.1,2069.15
427,20240104,2,Process deviation,10.9,1947.59
428,20240917,3,Tooling wear,9.9,2135.35
429,20240910,2,Supplier defect,7.5,3769.35
430,20241213,5,Power fluctuation,10.8,1274.82
431,20240709,6,Machine calibration,4.0,2583.39
432,20240712,5,Operator error,4.5,1747.62
433,20240328,7,Material defect,8.9,4022.75
434,20241119,4,Quality rejection,8.2,1528.17
435,20240209,4,Design mismatch,10.6,3000.16
436,20250116,2,Tooling wear,10.7,1784.61
437,20241107,6,Operator error,7.3,1347.16
438,20240820,3,Equipment failure,14.2,4283.28
439,20240807,2,Operator error,5.0,2036.96
440,20240830,4,Power fluctuation,13.5,2091.32
441,20240908,4,Supplier defect,24.7,3028.0
442,20240319,2,Quality rejection,7.4,1486.82
443,20241105,7,Supplier defect,10.7,4216.36
444,20250327,7,Quality rejection,5.3,1568.36
445,20241014,1,Power fluctuation,11.3,1888.08
446,20241204,4,Process deviation,8.6,1942.26
447,20240712,2,Supplier defect,20.2,2338.97
448,20240312,3,Design mismatch,15.6,2352.28
449,20250116,2,Power fluctuation,7.1,2163.55
450,20241018,2,Design mismatch,10.5,2759.65
451,20240227,6,Quality rejection,5.4,1464.25
452,20240718,1,Supplier defect,21.0,4373.38
453,20241006,3,Design mismatch,11.2,2608.11
454,20250227,5,Material defect,10.7,2826.04
455,20241120,5,Material defect,11.8,3426.08
456,20240314,5,Process deviation,8.7,1785.65
457,20240521,4,Power fluctuation,13.6,2543.9
458,20241023,1,Design mismatch,12.1,1102.26
459,20240125,3,Process deviation,10.9,2075.43
460,20250312,2,Machine calibration,8.2,2098.23
461,20250307,7,Machine calibration,14.1,2590.57
462,20240125,6,Design mismatch,10.0,2614.63
463,20240620,4,Material defect,8.0,2914.06
464,20240326,1,Material defect,12.5,1660.11
465,20240903,2,Design mismatch,17.7,3512.09
466,20250305,6,Machine calibration,13.1,2337.55
467,20250320,1,Machine calibration,5.7,2658.67
468,20240308,7,Power fluctuation,11.1,2378.12
469,20241001,6,Quality rejection,9.1,1525.63
470,20240120,7,Machine calibration,14.1,1742.64
471,20240127,3,Operator error,10.9,1157.23
472,20250210,3,Design mismatch,15.5,2531.96
473,20240208,6,Design mismatch,14.8,3429.98
474,20240623,7,Operator error,10.1,1603.08
475,20240419,6,Design mismatch,9.7,2189.43
476,20240723,2,Equipment failure,27.3,4192.78
477,20241026,7,Supplier defect,13.7,2941.38
478,20241029,3,Process deviation,10.1,2372.28
479,20241130,3,Equipment failure,18.6,4888.96
480,20241201,1,Supplier defect,11.4,4137.53
481,20250226,7,Operator error,11.1,1379.53
482,20241113,7,Tooling wear,14.5,2486.89
483,20240910,3,Operator error,7.9,1162.26
484,20240618,2,Supplier defect,11.0,3876.82
485,20241030,4,Equipment failure,19.1,4355.89
486,20240417,5,Quality rejection,9.8,1041.18
487,20240330,7,Design mismatch,18.9,2246.13
488,20240704,5,Supplier defect,16.0,3215.44
489,20241229,1,Design mismatch,10.7,3801.35
490,20240428,5,Process deviation,9.4,2275.65
491,20250116,3,Material defect,10.7,3146.91
492,20240126,6,Operator error,5.5,1132.18
493,20240514,4,Design mismatch,15.4,2847.42
494,20240711,2,Tooling wear,14.5,3390.43
495,20241124,2,Machine calibration,6.9,1839.83
496,20240718,7,Power fluctuation,12.7,1878.24
497,20250114,5,Operator error,8.6,1452.61
498,20240802,2,Machine calibration,9.0,1606.8
499,20241106,5,Design mismatch,15.3,2944.99
500,20240422,3,Machine calibration,9.4,2224.2
501,20241114,6,Power fluctuation,9.6,3191.22
502,20241130,4,Tooling wear,15.0,2753.08
503,20240118,6,Design mismatch,8.6,2762.42
504,20250313,2,Design mismatch,11.6,2585.96
505,20240902,3,Tooling wear,12.8,2299.75
506,20240707,3,Process deviation,8.6,2184.68
507,20240225,4,Machine calibration,8.1,1997.84
508,20250109,5,Design mismatch,11.3,2413.13
509,20241229,3,Tooling wear,11.3,2875.93
510,20240323,3,Operator error,5.5,1544.3
511,20240828,4,Machine calibration,9.9,1439.07
512,20240412,2,Machine calibration,8.1,2264.64
513,20241008,2,Supplier defect,19.0,3869.12
514,20240905,7,Operator error,8.5,2218.93
515,20241222,4,Power fluctuation,11.5,1760.99
516,20250111,1,Supplier defect,11.3,3449.12
517,20250223,2,Machine calibration,9.2,1812.71
518,20250115,7,Machine calibration,11.9,2502.48
519,20250125,7,Tooling wear,11.5,1928.8
520,20241013,3,Design mismatch,15.7,2660.97
521,20240529,7,Quality rejection,6.6,1300.74
522,20240303,7,Operator error,6.9,1172.12
523,20240212,4,Supplier defect,16.1,3399.18
524,20240316,4,Power fluctuation,8.7,1572.95
525,20241022,1,Process deviation,10.5,1373.51
526,20250120,4,Power fluctuation,11.1,2386.12
527,20240222,5,Quality rejection,3.8,1261.45
528,20240417,2,Machine calibration,12.1,1838.07
529,20240201,1,Tooling wear,5.4,2628.52
530,20240901,6,Material defect,13.2,3087.22
531,20250119,2,Tooling wear,11.1,2707.11
532,20240804,6,Equipment failure,28.4,5538.94
533,20250327,4,Process deviation,11.8,1737.04
534,20240911,7,Operator error,8.4,1011.53
535,20241020,2,Process deviation,10.4,1644.27
536,20241027,6,Quality rejection,4.0,1736.39
537,20240511,7,Material defect,17.9,4120.91
538,20241124,7,Supplier defect,13.8,2413.58
539,20240322,7,Power fluctuation,15.3,1937.52
540,20240210,4,Machine calibration,9.7,2511.33
541,20240217,4,Power fluctuation,7.6,2029.11
542,20250129,4,Quality rejection,5.1,1385.83
543,20250320,2,Tooling wear,11.6,2007.12
544,20240310,5,Tooling wear,11.3,2617.1
545,20240909,4,Material defect,17.7,3344.07
546,20240726,6,Equipment failure,21.5,2879.81
547,20240515,5,Quality rejection,9.4,1475.97
548,20240526,6,Design mismatch,18.6,3053.7
549,20240512,1,Supplier defect,21.8,2846.38
550,20250113,3,Tooling wear,20.8,2500.45
551,20240819,2,Process deviation,10.8,1984.14
552,20240805,5,Process deviation,7.5,1538.52
553,20240804,5,Machine calibration,10.1,1652.54
554,20241007,6,Quality rejection,10.5,1496.35
555,20240516,6,Quality rejection,9.6,1575.42
556,20240408,6,Power fluctuation,8.0,2383.34
557,20240711,7,Material defect,18.6,3229.31
558,20250306,1,Quality rejection,5.1,1286.95
559,20240306,6,Quality rejection,7.7,1622.1
560,20240213,2,Machine calibration,7.0,1767.16
561,20250301,5,Operator error,9.7,1252.72
562,20241007,1,Material defect,14.6,3143.31
